Exp. #,Experiment,ethane,Ethene,PROPANE,Propene,I-BUTANE,N-BUTANE,ETHYNE,1-Butene,t-2-Butene,c-2-Butene,cycopentane,I-PENTANE,N-PENTANE,t-2-pentene,1-pentene,cis-2-pentene,n-Hexane,isoprene,1-hexene,"2,4 dimethylpentane",n-Heptane,Benzene,cyclohexane,"2,3-dmp",2-methylhexane,3-methylhexane,"2,2,4-tmp",methylcyclohexane,"2,3,4 tmp",Toluene,2-methylheptane,3-methylheptane,n-octane,Ethylbenzene,m+p-xylene,Styrene,o-xylene,n-nonane,I-propylbenzene,n-propylbenzene,3-ethyltoluene,4-ethyltoluene,"1,3,5-trimethylbenzene",2-ethyltoluene,"1,2,4-trimethylbenzene",n-decane,"1,2,3-trimethylbenzene","1,3-diethylbenzene","1,4-diethylbenzene",C2HCl3,C2Cl4,acetonitrile,Acetaldehyde,Acetone,Isopropanol,Methylethylketone,a-pinene,b-pinene,limonene,Camphene
3,062123-1200-CXDP
14,062823-1100-SYPP,8400.63374213324,7306.779060823328,2656.3841438504874,5115.491726066448,144.41304545784845,755.0366394751005,1528.7745641692604,471.96596057187236,1239.7557675045023,378.88716783163255,20.60677711882829,158.75463113067,488.62947520456896,131.98837624645685,551.1853492535511,143.11866095777307,686.4891722117927,250.1179845874751,NA,5.513718730910944,115.03654205041305,1807.3685512249774,19.809299306756685,29.332908208170075,34.83342489075415,NA,5.151077772489994,21.678638998790987,NA,1416.5902258690314,18.250836419371883,16.28470415873698,292.1416087269481,179.37929537846725,457.0099744714304,186.9959754224712,153.8331410200277,66.57028839080752,13.583889883358488,53.031146266488946,118.98577314966305,80.1609514338802,60.31786865425078,43.74698540031933,158.64364112120992,57.98083667083623,70.07847827242558,28.528458906293203,38.975500195921704,NA,NA,32551.39212426271,16188.624268737232,6623.757731416889,367.529682903716,1679.8153522216844,601.1804472595813,212.64617075302866,433.65339928680453,127.81202351422748
15,062823-1300-SYPB,1073.9335942741914,5239.727056241791,182.15856616779192,1036.6368908020384,119.89397717427005,288.7194132638875,4234.072808805694,46.36172297720874,219.8786717495019,40.53255636583369,8.959500377284396,236.4988503769337,138.11661817423789,25.859782430062833,66.79137744815218,24.10967594237171,291.60100368963936,109.90699276148179,61.67267948724774,18.671047024514852,19.96105541125263,3267.812827072636,8.179151090534381,6.41061654993407,4.92497068090719,5.111522600638525,3.7046641980706303,17.220674735041165,0.5074882463110454,611.2178533817606,6.507221400343446,8.591233482806379,113.77004735894586,90.61047922668845,78.75046885670307,264.4878008800899,38.663633806152404,6.39967663895262,8.45918004405684,5.326150398109862,27.73781289384916,10.795256910038592,5.23663526536852,8.446288971280195,17.186905486337704,77.34971342013198,8.996270840504891,1.1994729900042878,2.898726392510363,NA,333.4207831959841,11777.172529949428,1749.646065637732,2047.8460623567305,442.20475574223053,126.06458220543921,28.104534497974115,16.893158822789495,67.31898425778276,7.660261207931571
16,062823-1430-ASHP,443.9843939820815,295.661174866868,231.60540755292737,190.9438727161001,51.96498694004795,156.40400559016877,35.7407322327822,20.12856984924636,76.13227131179856,14.927494832248826,7.603319793332416,73.9090943318016,138.312957793001,7.833723423433398,49.050372808164674,7.833723423433398,127.65701160068846,50.76326057942811,NA,6.419216290553046,57.08076134011382,30.30114466248602,14.803755291806377,7.476244719225402,15.175218421618984,5.777553037628433,3.630830576529325,11.753311222291703,1.8402839908436306,59.18068779663884,16.840021957035265,16.256456839712257,246.38952917830554,14.14209708379626,21.155027418500712,15.96348458304786,6.702966563004803,42.173064396410126,1.930084293780114,5.7902528813403435,7.200351562725293,5.9758019772277935,2.4126053672251424,4.457360491210896,10.57159806365926,191.44151682182735,8.071261592171386,1.7633514031163982,2.9879009886138967,9618.987166085366,502.2664109127465,509252.6668679552,1299.8826680524003,2322.6987651370387,660.9442067393607,190.2097487619442,5.817141515957972,1.3921364311694293,15.661534850656079,1.0938214816331229
17,062923-1500-BLKB,319.80532489670264,16.298939908617857,1655.6067260840732,18.5936783536119,1018.7451482197527,460.9600555690296,3.5470860539075275,1.0888836901297343,4.083313837986504,1.1935840449499011,9.110554275319462,33.30764410101663,50.75578749427351,0.1570785219882666,1.335167436900266,0.523595073294222,285.88888863095747,20.490264356805945,0.0,3.111737089687541,14.060263082946877,6.821193595832311,5.590666802268443,3.0151015171438456,4.599500955325708,2.0192931023381155,9.409652829483148,18.175518832781744,0.45776689440728824,33.56107829796842,5.49882307629716,6.095594572949565,120.20683003998447,1.5848920579229522,6.181079025899513,2.8373964094813293,4.318830857840044,6.749136762794784,0.5831572783532082,0.6728737827152403,2.3542521344724676,2.153890250687576,1.7494718350596246,1.8032569540640173,3.8578096875673777,102.47998329623852,1.3008893132494648,0.6010856513546725,2.0036188378489084,18110.225071674537,1064.3960106363102,27751.07367557026,387.95146253188074,1077.7160304549802,399.28330266322354,43.54235289353428,3.1015040341567306,1.9829288087231554,8.287625533894214,0.6101319411455863
18,063023-1100-ASHB,2554.6818626713975,10938.919069115347,1310.2166225643493,4734.371692326196,242.28608972816934,803.5103981236467,6859.037478951165,212.07229710428194,1419.5757449783498,166.39518695874426,37.96645154257879,254.94728394876114,526.260984859875,83.91168510945394,727.0553058094779,94.0420488032235,361.5732484363724,292.80938326918454,NA,8.831133479672841,278.70535392109696,6852.56944310801,18.44542939619918,7.1290503969208565,18.055343396680296,17.671187154197742,8.708691664662016,47.30723102598028,11.060038414120758,1274.0732198700987,82.2536151371181,16.348544623526582,273.1082767019485,242.46289616911233,283.4387185770989,601.0132400920136,117.56804674344481,187.18724741400044,17.7421142049555,30.415052922780855,91.42466171517923,54.03146048833293,22.657678313687754,46.6557373105605,79.3402769425066,177.91952279287946,54.99287346644214,21.52681997233582,30.61782761005533,NA,879.4353650469088,7100.129572483161,3507.616687590209,1462.253854943469,223.04372143372623,372.3945055027664,NA,2.263429155641087,4.178638441183546,1.5669894154438293
19,063023-1300-CDXP,9113.40513567545,6878.058237597261,2878.3097349614923,4413.2681344448965,436.52752117126016,731.0034234333724,2002.928860353119,424.9638760262169,891.0672724389358,332.45414314445134,21.489366369618917,124.66885795794609,280.6930624847921,125.08816539995071,261.8017257211707,121.53821963145126,193.18873903672454,208.88559009809495,NA,5.780111271247459,70.02111722433355,1297.4715414659117,25.16340658988453,43.5446828622129,131.33314026653605,13.934550691409664,4.159238555800776,36.14788634861409,6.475776485613868,1357.7148703828157,20.826049771212215,10.854254753640266,218.58527662412146,198.29923704799208,989.3634943761558,95.19119132211712,189.07124773345265,43.30374091396367,12.536923601103604,32.68886746361828,116.76383973275288,108.4161584729957,268.05799981174476,29.087262029340312,137.534695209144,197.15054441685245,52.562213023886216,6.429270038570764,30.48718373128717,3473.009062636085,730.2381356843223,126446.5763991058,13897.22296133854,5428.30462848134,507.9775710965683,1698.824018227589,63.207758555760165,0.999956213621518,70.62848624631987,18.99916805880884
20,063023-1500-DSOB,984.4734823797642,4939.806942401197,272.95649677863446,857.1623952675319,126.04124535848636,116.67080015900184,3626.3092232873328,25.680731911973748,158.2271268255436,22.341179943173866,6.976256702068747,57.40121694132688,68.65316003493925,14.005363833698622,43.70730524705192,16.3307827343882,177.0567441680537,37.233417681628296,NA,5.034065570514708,19.136677208172703,2098.852356279369,11.888521432281994,13.6589392503658,9.964660321415373,11.097008085212575,3.8504909363253628,7.249602288004143,0.46205891235904356,485.0201675951347,13.381148653248497,16.522061359638016,114.70785308540351,76.38815754400744,64.5899866144356,148.73182578230976,26.795845840044493,3.9135159211426993,5.79569186782376,4.256211215433074,16.482598701043408,8.190739231806846,5.976807238693254,6.4211350767868485,12.361124061842863,32.47935014598732,3.6223074173898504,1.9212845111645689,5.409932702489707,5190.562736657839,393.5213602844202,64482.526566798944,1590.8309095127129,626.4469678271356,162.4152088272174,103.4930823395395,NA,1.0264208871572238,4.516251903491784,2.0528417743144476
21,071023-0930-DSOP,9822.834360011439,7665.410883217742,2878.284192534416,5192.42217432898,209.9009822013285,799.5154981793186,2130.607125483486,535.8773849354375,1215.3996229974757,400.7691402232172,25.55281640920575,241.07056581352418,383.13754549172194,165.6571642110859,379.31565322299906,174.94443282567673,1186.746159453594,334.9057459856171,NA,4.469692996616036,139.8388515034682,1991.434108487751,66.20608359848981,65.10928893079725,194.4038540948372,62.48040928024457,9.66979979206443,33.109295655161766,NA,1256.620089317839,42.56651554721253,17.878771986464145,219.68332214209101,151.0438961213823,554.6300802565103,208.8094100519104,123.20367156636144,51.31688880272816,13.8033937484703,47.82831973992257,178.48136138368034,82.41754833971379,122.73590874436012,56.69581199069054,201.77572390279832,130.08751752204094,68.18173154101095,11.879122512335162,38.238993541773105,4663.724910858976,885.4040974708194,97028.64171502372,17173.48934420594,6605.344387194193,685.0263846573654,2458.157832213732,257.3016844855652,54.95812509441876,180.86853498888493,57.798209528128524
22,071023-1130-XPSP,287.70114269210427,63.522593365942036,161.85221542668808,41.403480339935676,311.7036455642797,318.0719934721308,139.45213276597536,20.278333843454796,14.442842089942625,20.278333843454796,12.585021613398967,282.0842645917075,152.37802854535897,12.741357285615104,7.087217140464843,6.435818506230942,47.72690727796544,99.89205391756218,NA,3.2242960240438543,17.417777331039694,174.56847134682835,5.970603808929948,5.572993425480365,5.061576318421791,4.987141372562647,5.365979589526596,27.86376368815739,0.5062244895779807,1193.6553279438879,16.885129178545448,17.43665349844768,154.89348399715934,2410.814470622926,35.25481952329138,44796.76146409456,NA,6.764858852978644,401.7256999472924,58.977511628181084,14.008857383898302,6.082137369521681,3.884211590955151,6.979501899451113,12.768787528887046,100.67415571096957,2.678766614451828,2.5923864197961266,3.4398973647294766,NA,985.4533111667268,101324.04830041819,482.12649157316855,378.4509769581856,327.16669584505,40.095575883316364,NA,0.9108697925613569,3.9471024344325474,3.9977063117970673
23,071023-1330-CELP,1129.624959292783,1756.1868368909043,230.01261913785288,1000.7504876558812,70.35221079758607,76.53307969224656,268.57168856819175,102.98868857634346,550.9497710215187,91.60433482625923,15.07320784774918,47.34684745903822,101.63336006002618,10.133676897642186,51.304921981781426,11.865058880153915,65.9063607240321,136.20834540138424,NA,1.6582822526727585,16.51124722025169,607.866178883113,6.995157781945173,4.154206106720767,5.237047576467495,NA,5.095156427579962,30.649402813725,NA,412.7193832868166,6.425843729106938,18.945874736786262,246.58657097243915,142.73454700189373,54.91272394106333,3850.745644780246,24.16159853406786,28.95595719547727,13.044635901026176,18.58533409310084,23.286350860157278,8.574053873195986,10.426983211857044,11.10729706300389,28.227021498207144,228.66925371535635,15.793171224653765,4.433175582163834,4.481891797352447,NA,451.3926465453676,205850.9279224741,3399.5437144863367,5269.727728975605,279.76163115495103,347.9686697664359,171.4904853338176,17.455634752836676,22.845618288415142,3.164760975018548
