Exp. #,Exp.,CH1,CH2,CH3,CH4,CH5,CH6,CH7
64,072723-1100-DFUB,0.285404352,0.627547891,0.385243747,0.303649001,0.326150012,0.242271847,0.138587699
65,072723-1330-SYPB,0.18608017,0.41160555,0.245363587,0.196059403,0.210409128,0.157845225,0.093728481
66,072823-0930-SYPB,0.19846418,0.470902876,0.280676372,0.223786725,0.241073017,0.181033892,0.134730301
67,072823-1130-SYPP,0.171731818,0.405846559,0.242458109,0.195787235,0.210427858,0.156139374,0.107252077
68,072823-1330-DSOB,0.172809882,0.404480035,0.239243808,0.190717461,0.205580256,0.156071333,0.095176038
69,073123-0930-DSOP,0.185917971,0.410629829,0.242989612,0.198735248,0.215087963,0.157788339,0.094398488
70,073123-1100-CPLP,0.192237443,0.45835391,0.272366227,0.218586442,0.234699453,0.176072067,0.12742362
71,073123-1300-PVCP,0.226338069,0.533938399,0.324924744,0.25656434,0.275288013,0.203819232,0.1449494
73,073123-1530-XPSB,0.130171926,0.269875946,0.160179015,0.128485879,0.137309096,0.105811702,0.075334407
74,080123-0930-PUFB,,,,,,,
76,080123-1300-XPSP,0.122246228,0.353067828,0.209421589,0.167982501,0.180864388,0.135329536,0.108932147
77,080123-1400-ASHP,0.154334429,0.446270279,0.268309507,0.212858687,0.228897044,0.171274592,0.104775397
78,080123-1515-BLKB,0.105553021,0.30352259,0.179552889,0.144722325,0.155762672,0.115831509,0.085841365
79,080223-1030-HRDP,0.191344252,0.410996597,0.278027258,0.220632988,0.206983936,0.15565665,0.09051977
80,080223-1130-HRDB,0.176536164,0.373305121,0.254795523,0.201242792,0.189129041,0.140022959,0.108393298
81,080223-1330-LVPP,0.175641742,0.384341245,0.263718065,0.207363927,0.19446866,0.144408715,0.083496373
82,080223-1430-LVPB,0.175641742,0.384341245,0.263718065,0.207363927,0.19446866,0.144408715,0.083496373
83,080423-OSBSB,,,,,,,
84,084023-1100-OSBSP,,,,,,,
85,080423-1300-BLKP,0.226033803,0.520520786,0.351105762,0.281328306,0.263574116,0.197356027,0.124009337
