Sample Name,ethane,Ethene,PROPANE,Propene,I-BUTANE,N-BUTANE,ETHYNE,1-Butene,t-2-Butene,c-2-Butene,cycopentane,I-PENTANE,N-PENTANE,t-2-pentene,1-pentene,cis-2-pentene,n-Hexane,isoprene,1-hexene,"2,4 dimethylpentane",n-Heptane,Benzene,cyclohexane,"2,3-dmp",2-methylhexane,3-methylhexane,"2,2,4-tmp",methylcyclohexane,"2,3,4 tmp",Toluene,2-methylheptane,3-methylheptane,n-octane,Ethylbenzene,m+p-xylene,Styrene,o-xylene,n-nonane,I-propylbenzene,n-propylbenzene,3-ethyltoluene,4-ethyltoluene,"1,3,5-trimethylbenzene",2-ethyltoluene,"1,2,4-trimethylbenzene",n-decane,"1,2,3-trimethylbenzene","1,3-diethylbenzene","1,4-diethylbenzene",C2HCl3,C2Cl4,acetonitrile,Acetaldehyde,Acetone,Isopropanol,Methylethylketone,a-pinene,b-pinene,limonene,Camphene
300623_1115_ASHB_CH7_M,132.958,610.313,46.496,176.075,6.524,21.636,412.224,5.915,39.594,4.641,0.847,5.53,11.415,1.872,16.22,2.098,6.566,6.727,NA,0.121,4.353,137.296,0.343,0.116,0.282,0.276,0.1,0.754,0.127,21.64,1.127,0.224,3.742,3.574,4.178,9.031,1.733,2.284,0.231,0.396,1.066,0.63,0.295,0.544,1.033,1.957,0.716,0.251,0.357,NA,8.3,270.685,124.617,39.401,5.808,8.082,NA,0.026,0.048,0.018
300623_1300_CDXP_CH7_M,784.557,634.761,168.957,271.495,19.443,32.559,199.114,19.606,41.11,15.338,0.793,4.473,10.071,4.616,9.661,4.485,5.803,7.938,NA,0.131,1.809,43,0.774,1.172,3.393,0.36,0.079,0.953,0.123,38.145,0.472,0.246,4.954,4.835,24.123,2.366,4.61,0.874,0.27,0.704,2.252,2.091,5.773,0.561,2.962,3.587,1.132,0.124,0.588,67.4,11.4,7973.907,816.694,241.944,21.88,60.986,1.201,0.019,1.342,0.361
280623_1430_ASHP_CH7_M,40.459,28.883,14.391,12.434,2.45,7.374,3.761,0.983,3.718,0.729,0.297,2.807,5.253,0.306,1.916,0.306,4.059,2.042,NA,0.154,1.561,1.063,0.482,0.213,0.415,0.158,0.073,0.328,0.037,1.76,0.404,0.39,5.911,0.365,0.546,0.42,0.173,0.901,0.044,0.132,0.147,0.122,0.055,0.091,0.241,3.687,0.184,0.036,0.061,197.6,8.3,33993.902,80.861,109.584,30.135,7.228,0.117,0.028,0.315,0.022
300623_1500_DSO_CH7_M,86.912,467.505,16.431,54.075,5.757,5.329,369.686,1.215,7.486,1.057,0.264,2.112,2.526,0.53,1.654,0.618,5.454,1.451,NA,0.117,0.507,71.332,0.375,0.377,0.264,0.294,0.075,0.196,0.009,13.974,0.311,0.384,2.666,1.91,1.615,3.791,0.67,0.081,0.128,0.094,0.326,0.162,0.132,0.127,0.273,0.606,0.08,0.038,0.107,103.3,6.3,4170.019,95.871,28.633,7.174,3.81,NA,0.02,0.088,0.04
100723_0923_DSOP_CH7_M,893.206,747.224,178.461,337.398,9.875,37.614,223.723,26.114,59.228,19.53,0.996,9.136,14.52,6.457,14.785,6.819,37.653,13.443,NA,0.107,3.816,69.712,2.151,1.851,5.305,1.705,0.194,0.922,NA,37.291,1.019,0.428,5.259,3.89,14.284,5.482,3.173,1.094,0.314,1.088,3.636,1.679,2.792,1.155,4.59,2.5,1.551,0.242,0.779,95.6,14.6,6463.013,1066.009,310.969,31.166,93.21,5.164,1.103,3.63,1.16
100723_1500_PUFP_CH7_M,47.219,49.559,122.74,543.136,226.56,37.51,12.759,0.864,2.158,0.625,0.682,1.701,3.461,0.466,0.59,0.226,2.602,3.738,NA,0.027,0.108,0.82,0.184,0.067,0.121,0.035,0.062,0.05,0.036,2.023,0.007,NA,0.967,0.173,0.719,2.986,0.201,0.043,0.036,0.059,0.106,0.03,0.089,0.053,0.196,0.406,0.038,0.043,0.079,244.5,5.8,623.989,527.441,300.745,71.848,1.795,0.196,0.017,0.176,0.02
120723_0930_CELB_CH7,46.233,232.267,4.963,37.278,2.303,3.091,153.507,1.355,7.907,1.19,0.294,2.342,3.177,0.657,1.481,0.744,664.677,2.609,NA,0.154,1.228,33.408,3.295,0.223,0.096,0.193,1.58,0.31,0.047,8.859,0.267,0.382,1.782,1.287,1.537,9.083,0.704,0.075,0.12,0.143,0.371,0.125,0.12,0.116,0.424,1.427,0.102,0.037,0.063,291,5.2,6069.522,64.274,22.468,42.909,2.51,0.299,0.033,0.151,0.025
130723_1030_BLKP_CH7_M,15.994,2.895,5.415,1.189,2.521,5.664,1.986,0.393,0.264,0.429,0.479,5.632,4.968,0.35,0.213,0.184,25.417,2.966,NA,0.143,0.753,1.035,0.698,0.396,0.183,0.28,0.417,0.946,0.03,2.576,0.371,0.892,7.164,0.29,1.462,0.325,0.413,0.144,0.03,0.081,0.192,0.155,0.081,0.086,0.331,4.477,0.084,0.027,0.045,653.3,25.2,30137.731,10.271,13.134,30.983,1.013,0.165,0.039,0.073,0.016
100723_1100_XPSP_CH7_M,25.759,6.097,9.881,2.649,14.439,14.734,14.418,0.973,0.693,0.973,0.483,10.526,5.686,0.489,0.272,0.247,1.491,3.948,NA,0.076,0.468,6.017,0.191,0.156,0.136,0.134,0.106,0.764,0.01,34.878,0.398,0.411,3.651,61.134,0.894,1157.999,NA,0.142,8.998,1.321,0.281,0.122,0.087,0.14,0.286,1.905,0.06,0.052,0.069,NA,16,6645.386,29.467,17.543,14.656,1.497,NA,0.018,0.078,0.079
100723_1600_XPSB_CH7_M,26.587,150.082,3.117,8.561,1.741,3.074,413.84,0.357,0.499,13.122,0.818,5.161,4.869,0.191,0.165,0.101,2.675,2,NA,0.104,0.255,364.9,NA,0.068,0.058,0.034,0.061,0.07,0.022,102.182,NA,0.029,0.204,12.907,0.497,983.402,NA,0.05,0.978,0.37,0.155,0.057,0.038,0.078,0.132,0.206,0.055,0.042,0.08,NA,10.9,632.158,25.104,31.879,17.511,0.588,NA,0.02,0.098,0.016
